GageNumber ,GageName ,Agency ,November(cfs),December(cfs),January(cfs),February(cfs),March(cfs),AquaticBaseFlow(cfs)
11516530,KLAMATH R BL IRON GATE DAM CA ,USGS ,828,828,828,828,1013,1287
11517000,SHASTA R NR  MONTAGUE CA ,USGS ,114,114,114,176,194,107
11517500,SHASTA R NR YREKA CA ,USGS ,128,128,129,197,222,119
11519500,SCOTT R NR FORT JONES CA ,USGS ,293,327,467,454,379,161
11520500,KLAMATH R NR SEIAD VALLEY CA ,USGS ,1364,1364,1364,1433,2354,1687
11521500,INDIAN C NR HAPPY CAMP CA ,USGS ,181,368,372,365,319,35
11522500,SALMON R A SOMES BAR CA ,USGS ,758,1035,1306,1265,1243,202
11523000,KLAMATH R A ORLEANS ,USGS ,2631,2631,2631,3424,5131,1156
11523200,TRINITY R AB COFFEE C NR TRINITY CENTER CA ,USGS ,162,162,185,220,257,39
11525530,RUSH C NR LEWISTON CA ,USGS ,15,22,29,31,31,2
11525630,GRASS VALLEY C NR LEWISTON CA ,USGS ,23,32,48,51,47,3.7
11525670,INDIAN C NR DOUGLAS CITY CA ,USGS ,20,28,40,44,43,3
11525854,TRINITY R A DOUGLAS CITY CA ,USGS ,957,1022,1388,1628,1492,228
11526400,TRINITY R AB NF TRINITY R NR HELENA CA ,USGS ,1122,1237,1702,1951,1782,273
11526500,NF TRINITY R A HELENA CA ,USGS ,146,175,246,269,253,32
11527000,TRINITY R NR BURNT RANCH CA ,USGS ,1320,1534,2105,2415,2239,324
11528700,SF TRINITY R BL HYAMPOM CA ,USGS ,572,898,1331,1372,1255,77
11530000,TRINITY R A HOOPA CA ,USGS ,2349,3440,4712,5165,4772,423
11530500,KLAMATH R NR ,USGS ,9785,10162,14400,13657,16450,4789
11532500,SMITH R NR CRESCENT CITY CA ,USGS ,1758,3261,3382,2865,2623,288
CLE ,TRINITY LAKE ,US Bureau of Reclamation ,749,849,1117,1288,1169,188
SPU ,SHASTA R AT GRENADA PUMP PLANT ,"CA Dept of Water Resources, NRO ",47,47,47,68,77,47
11342000,SACRAMENTO R A DELTA CA ,USGS ,486,645,800,1037,894,139
11345500,SF PIT R NR LIKELY CA ,USGS ,28,28,28,28,28,35
11348500,PIT R NR CANBY CA ,USGS ,125,132,116,116,116,122
11361000,BURNEY C A BURNEY FALLS NR BURNEY CA ,USGS ,84,84,94,123,132,58
HCB ,HAT CK BLW HAT CK ,CA Dept of Water Resources ,85,85,85,85,99,83
HCN ,HAT CK NR HAT CK ,CA Dept of Water Resources ,73,74,74,74,76,60
SHA ,SHASTA DAM (USBR) ,US Bureau of Reclamation ,1792,1792,2207,3096,4145,904
SSD ,SUSAN R NR STANDISH ,CA Dept of Water Resources ,65,65,65,73,81,44
SSU ,SUSAN RIVER AT SUSANVILLE ,CA Dept of Water Resources ,54,54,54,56,71,39
WCD ,WILLOW CREEK NEAR STANDISH ,CA Dept of Water Resources ,99,99,99,106,115,76
11473900,MF EEL R NR DOS RIOS CA ,USGS ,621,1138,1592,1450,1279,18
11475000,EEL R A FORT SEWARD CA ,USGS ,1918,3768,5252,4850,3814,73
11475560,ELDER C NR BRANSCOMB CA ,USGS ,11,25,31,25,22,1.3
11475610,CAHTO C NR LAYTONVILLE CA ,USGS ,7.9,18,23,19,15,2.4
11475800,SF EEL R A LEGGETT CA ,USGS ,347,783,980,851,665,25
11476500,SF EEL R NR MIRANDA CA ,USGS ,749,1708,2125,1857,1424,54
11476600,BULL C NR WEOTT CA ,USGS ,45,102,123,112,88,1.9
11477000,EEL R A SCOTIA CA ,USGS ,3293,7218,9280,8443,6013,145
11478500,VAN DUZEN R NR BRIDGEVILLE CA ,USGS ,323,728,814,748,627,12
11480390,MAD R AB RUTH RES NR FOREST GLEN CA ,USGS ,100,213,257,247,203,1.1
11481000,MAD R NR ARCATA CA ,USGS ,641,1406,1555,1453,1245,57
11481200,LITTLE R NR TRINIDAD CA ,USGS ,54,127,132,111,101,6.3
11481500,REDWOOD C NR BLUE LAKE CA ,USGS ,96,197,221,211,203,6.7
11482500,REDWOOD C A ORICK CA ,USGS ,406,901,987,856,794,28
11370500,SACRAMENTO R A KESWICK CA ,USGS ,1786,1786,2275,3155,3802,914
11372000,CLEAR C NR IGO CA ,USGS ,197,296,403,503,406,35
11374000,COW C NR MILLVILLE CA ,USGS ,284,500,722,690,557,29
11376000,COTTONWOOD C NR COTTONWOOD CA ,USGS ,461,758,1215,1265,995,45
11376550,BATTLE C BL COLEMAN FISH HATCHERY NR COTTONWOOD CA ,USGS ,185,185,255,284,264,171
11377100,SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA ,USGS ,2550,2676,3841,5157,5106,1291
11379500,ELDER C NR PASKENTA CA ,USGS ,46,70,123,129,101,3
11381500,MILL C NR LOS MOLINOS CA ,USGS ,101,101,142,148,159,46
11383500,DEER C NR VINA CA ,USGS ,165,171,246,267,289,49
11390500,SACRAMENTO R BL WILKINS SLOUGH NR GRIMES CA ,USGS ,5668,7679,14170,12964,12083,854
BIC ,BIG CHICO CREEK NEAR CHICO ,CA Dept of Water Resources ,66,74,125,138,135,16
BLB ,BLACK BUTTE ,US Army Corps of Engineers ,278,422,749,796,615,29
GRI ,GRINDSTONE CK NR GRINDSTONE RANCHERIA ,US Bureau of Reclamation ,93,136,228,222,179,12
MUC ,MUD CREEK NEAR CHICO ,CA Dept of Water Resources ,78,89,162,180,181,14
NCO ,N FK COTTONWOOD CK ABV LK AT BRDG NR ONO ,"CA Dept of Water Resources, NRO ",9.5,14,20,22,19,1.5
SCG ,STONY CK NR GRIZZLY FLAT (CO RD 200A) ,US Bureau of Reclamation ,258,391,698,732,572,26
SUW ,STONY CREEK NR SUWANNA RANCH (CO RD 410) ,US Bureau of Reclamation ,119,185,328,343,257,12
THO ,THOMES CREEK AT PASKENTA ,CA Dept of Water Resources ,149,217,334,348,281,17
11335000,COSUMNES R A MICHIGAN BAR CA ,USGS ,170,190,323,391,382,23
11336580,MORRISON C NR SACRAMENTO CA ,USGS ,3.4,4.1,12,13,9.2,1
11336585,LAGUNA C NR ELK GROVE CA,USGS ,2.5,3.1,9.4,10,7,1.1
11401920,SPANISH C A QUINCY CA ,USGS ,55,58,74,86,91,17
11402000,SPANISH C AB BLACKHAWK C AT KEDDIE CA ,USGS ,118,118,154,182,190,34
11413000,N YUBA R BL GOODYEARS BAR CA ,USGS ,292,321,385,416,435,84
11421000,YUBA R NR MARYSVILLE CA ,USGS ,1102,1380,1736,1929,1964,324
11425500,SACRAMENTO R A VERONA CA ,USGS ,10548,14051,25774,24889,22688,1424
11427000,NF AMERICAN R A NORTH FORK DAM CA ,USGS ,284,354,429,471,456,85
11447360,ARCADE C NR DEL PASO HEIGHTS CA ,USGS ,3.3,4.4,13,13,11,1.2
11447650,SACRAMENTO R A FREEPORT CA ,USGS ,7256,7645,12738,16071,14817,2601
11449500,KELSEY C NR KELSEYVILLE CA ,USGS ,29,54,78,84,58,3.3
11451000,CACHE C NR LOWER LAKE CA ,USGS ,277,446,814,821,610,19
11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA ,USGS ,43,77,125,123,93,1
11451300,NF CACHE C NR CLEARLAKE OAKS CA ,USGS ,60,93,166,176,135,5.2
11451715,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA ,USGS ,16,33,67,74,49,1.5
11451800,CACHE C A RUMSEY CA ,USGS ,437,645,1346,1300,979,30
11453500,PUTAH C NR GUENOC CA ,USGS ,82,137,234,251,172,4
11455420,SACRAMENTO R A RIO VISTA CA ,USGS ,14009,19070,35609,34051,30009,1715
BPG ,BEAR RIVER AT PLEASANT GROVE RD ,CA Dept of Water Resources ,133,150,252,301,270,18
CMF ,COSUMNES R MID FORK NR SOMERSET ,CA Dept of Water Resources ,53,53,73,91,98,19
CNF ,COSUMNES R N FORK NR EL DORADO ,CA Dept of Water Resources ,91,94,146,173,177,32
